上海,#genre#
法治天地,http://[2409:8087:5e01:24::8]:6610/000000001000/2000000002000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000014&IASHttpSessionId=OTT19019320240419154124000281
第一财经,http://[2409:8087:5e01:24::8]:6610/000000001000/2000000002000000004/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000004&IASHttpSessionId=OTT19019320240419154124000281
东方卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000010282/index.m3u8?channel-id=bestzb&Contentid=5000000004000010282&livemode=1&stbId=3
纪实科教,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000001000001910/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001910&livemode=1&stbId=3
劲爆体育,http://[2409:8087:5e01:24::8]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSessionId=OTT19019320240419154124000281
乐游,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
欢笑剧场,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000007000010001/index.m3u8?channel-id=bestzb&Contentid=5000000007000010001&livemode=1&stbId=3
都市剧场,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031111/index.m3u8?channel-id=bestzb&Contentid=5000000011000031111&livemode=1&stbId=3
魅力足球,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031207/index.m3u8?channel-id=bestzb&Contentid=5000000011000031207&livemode=1&stbId=3
中国天气,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000005000031974/index.m3u8?channel-id=bestzb&Contentid=5000000005000031974&livemode=1&stbId=3


央视,#genre#

CCTV1,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3
CCTV2,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031101/index.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=3
CCTV3,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000004000008883/index.m3u8?channel-id=bestzb&Contentid=5000000004000008883&livemode=1&stbId=3
CCTV4,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031102/index.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3
CCTV5,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000004000008885/index.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=3
CCTV5+,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031127/index.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=3
CCTV6,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000004000008886/index.m3u8?channel-id=bestzb&Contentid=5000000004000008886&livemode=1&stbId=3
CCTV7,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031104/index.m3u8?channel-id=bestzb&Contentid=5000000011000031104&livemode=1&stbId=3
CCTV8,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000004000008888/index.m3u8?channel-id=bestzb&Contentid=5000000004000008888&livemode=1&stbId=3
CCTV9,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000032162/index.m3u8?channel-id=wasusyt&Contentid=6000000001000032162&livemode=1&stbId=3
CCTV10,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000012827/index.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=3
CCTV11,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031106/index.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=3
CCTV12,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031107/index.m3u8?channel-id=bestzb&Contentid=5000000011000031107&livemode=1&stbId=3
CCTV13,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031108/index.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=3
CCTV14,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000006673/index.m3u8?channel-id=bestzb&Contentid=5000000004000006673&livemode=1&stbId=3
CCTV15,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031109/index.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=3
CCTV16,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000008000023253/index.m3u8?channel-id=bestzb&Contentid=5000000008000023253&livemode=1&stbId=3
CCTV17,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000005000056836/index.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=3
CCTV16,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3

CCTV1,http://[2409:8087:74d8:21::18]/270000001128/9900000501/index.m3u8?
CCTV1,http://[2409:8087:74d8:21::18]/270000001128/9900000001/index.m3u8?
CCTV2,http://[2409:8087:74d8:21::18]/270000001128/9900000502/index.m3u8?
CCTV3,http://[2409:8087:74d8:21::18]/270000001128/9900000003/index.m3u8?
CCTV4,http://[2409:8087:74d8:21::18]/270000001128/9900000503/index.m3u8?
CCTV5,http://[2409:8087:74d8:21::18]/270000001128/9900000005/index.m3u8?
CCTV5+,http://[2409:8087:74d8:21::18]/270000001128/9900000507/index.m3u8?
CCTV6,http://[2409:8087:74d8:21::18]/270000001128/9900000006/index.m3u8?
CCTV7,http://[2409:8087:74d8:21::18]/270000001128/9900000504/index.m3u8?
CCTV8,http://[2409:8087:74d8:21::18]/270000001128/9900000008/index.m3u8?
CCTV9,http://[2409:8087:74d8:21::18]/270000001128/9900000505/index.m3u8?
CCTV10,http://[2409:8087:74d8:21::18]/270000001128/9900000506/index.m3u8?
CCTV11,http://[2409:8087:74d8:21::18]/270000001128/9900000508/index.m3u8?
CCTV12,http://[2409:8087:74d8:21::18]/270000001128/9900000509/index.m3u8?
CCTV13,http://[2409:8087:74d8:21::18]/270000001128/9900000510/index.m3u8?
CCTV14,http://[2409:8087:74d8:21::18]/270000001128/9900000511/index.m3u8?
CCTV15,http://[2409:8087:74d8:21::18]/270000001128/9900000512/index.m3u8?
CCTV16,http://[2409:8087:74d8:21::18]/270000001128/9900000016/index.m3u8?
CCTV17,http://[2409:8087:74d8:21::18]/270000001128/9900000513/index.m3u8?

卫视,#genre#
北京卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000031556/index.m3u8?channel-id=bestzb&Contentid=5000000004000031556&livemode=1&stbId=3
湖南卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000018044/index.m3u8?channel-id=wasusyt&Contentid=6000000001000018044&livemode=1&stbId=3
东方卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000005000265018/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265018&livemode=1&stbId=3
四川卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000002000016825/index.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=3
天津卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000006827/index.m3u8?channel-id=bestzb&Contentid=5000000004000006827&livemode=1&stbId=3
安徽卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000023002/index.m3u8?channel-id=bestzb&Contentid=5000000004000023002&livemode=1&stbId=3
山东卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000004134/index.m3u8?channel-id=wasusyt&Contentid=6000000001000004134&livemode=1&stbId=3
深圳卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000002116/index.m3u8?channel-id=wasusyt&Contentid=6000000001000002116&livemode=1&stbId=3
广东卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000031076/index.m3u8?channel-id=wasusyt&Contentid=6000000001000031076&livemode=1&stbId=3
广西卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031118/index.m3u8?channel-id=bestzb&Contentid=5000000011000031118&livemode=1&stbId=3
江苏卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000014861/index.m3u8?channel-id=wasusyt&Contentid=6000000001000014861&livemode=1&stbId=3
江西卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000011210/index.m3u8?channel-id=bestzb&Contentid=5000000004000011210&livemode=1&stbId=3
河北卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000006000040016/index.m3u8?channel-id=bestzb&Contentid=5000000006000040016&livemode=1&stbId=3
河南卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000002000027731/index.m3u8?channel-id=ystenlive&Contentid=1000000002000027731&livemode=1&stbId=3
浙江卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000032070/index.m3u8?channel-id=wasusyt&Contentid=6000000001000032070&livemode=1&stbId=3
海南卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000006211/index.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=3
湖北卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000015436/index.m3u8?channel-id=wasusyt&Contentid=6000000001000015436&livemode=1&stbId=3
山西卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000002000021220/index.m3u8?livemode=1&stbId=3&channel-id=ystenlive&Contentid=1000000002000021220
东南卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000002000009263/index.m3u8?livemode=1&stbId=3&channel-id=ystenlive&Contentid=1000000002000009263
贵州卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000002000003169/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000003169
辽宁卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000011671/index.m3u8?channel-id=bestzb&Contentid=5000000004000011671&livemode=1&stbId=3
重庆卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000025797/index.m3u8?channel-id=bestzb&Contentid=5000000004000025797&livemode=1&stbId=3
黑龙江卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/6000000001000016510/index.m3u8?channel-id=wasusyt&Contentid=6000000001000016510&livemode=1&stbId=3
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680
宁夏卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000002000031451/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000031451
陕西卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000006000040017/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000006000040017
吉林卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000002000027730/index.m3u8?channel-id=ystenlive&Contentid=1000000002000027730&livemode=1&stbId=3
甘肃卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031121/index.m3u8?channel-id=bestzb&Contentid=5000000011000031121&livemode=1&stbId=3
云南卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031120/index.m3u8?channel-id=bestzb&Contentid=5000000011000031120&livemode=1&stbId=3
三沙卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000117/1.m3u8
青海卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000002000013359/index.m3u8?channel-id=ystenlive&Contentid=1000000002000013359&livemode=1&stbId=3
新疆卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000002000029441/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000029441
西藏卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000002000015894/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000015894
农林卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000005000266003/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266003
兵团卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000005000266005/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266005
安多卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000005000266001/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266001
厦门卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000005000266006/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266006
康巴卫视,http://[2409:8087:5e08:24::2]:6610/000000001000/1000000005000266002/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266002

东方卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000518/index.m3u8?
北京卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000516/index.m3u8?
浙江卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000531/index.m3u8?
湖南卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000523/index.m3u8?
江苏卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000524/index.m3u8?
深圳卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000529/index.m3u8?
东南卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000519/index.m3u8?
湖北卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000522/index.m3u8?
山东卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000527/index.m3u8?
广东卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000520/index.m3u8?
四川卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000025/index.m3u8?
河北卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000057/index.m3u8?
重庆卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000517/index.m3u8?
天津卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000530/index.m3u8?
河南卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000027/index.m3u8?
吉林卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000030/index.m3u8?
山西卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000053/index.m3u8?
安徽卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000514/index.m3u8?
辽宁卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000526/index.m3u8?
陕西卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000026/index.m3u8?
广西卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000034/index.m3u8?
海南卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000037/index.m3u8?
宁夏卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000047/index.m3u8?
江西卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000525/index.m3u8?
贵州卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000036/index.m3u8?
甘肃卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000023/index.m3u8?
云南卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000035/index.m3u8?
青海卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000042/index.m3u8?
新疆卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000045/index.m3u8?
西藏卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000043/index.m3u8?
兵团卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000059/index.m3u8?
内蒙古卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000044/index.m3u8?
黑龙江卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000521/index.m3u8?
厦门卫视,http://[2409:8087:74d8:21::18]/270000001128/9900000058/index.m3u8?

其他,#genre#
黑莓电影,http://[2409:8087:74d8:21::18]/270000001128/9900000095/index.m3u8?
黑莓动画,http://[2409:8087:74d8:21::18]/270000001128/9900000096/index.m3u8?
电竞,http://[2409:8087:74d8:21::18]/270000001128/9900000097/index.m3u8?
超级综艺,http://[2409:8087:74d8:21::18]/270000001128/9900000019/index.m3u8?
超级体育,http://[2409:8087:74d8:21::18]/270000001128/9900000020/index.m3u8?
超级电影,http://[2409:8087:74d8:21::18]/270000001128/9900000021/index.m3u8?
超级电视剧,http://[2409:8087:74d8:21::18]/270000001128/9900000022/index.m3u8?
欢笑剧场,http://[2409:8087:74d8:21::18]/270000001128/9900000091/index.m3u8?
东北热剧,http://[2409:8087:74d8:21::18]/270000001128/9900000092/index.m3u8?
精品大剧,http://[2409:8087:74d8:21::18]/270000001128/9900000100/index.m3u8?
精品体育,http://[2409:8087:74d8:21::18]/270000001128/9900000102/index.m3u8?
怡伴健康,http://[2409:8087:74d8:21::18]/270000001128/9900000103/index.m3u8?
家庭剧场,http://[2409:8087:74d8:21::18]/270000001128/9900000108/index.m3u8?
精品纪录,http://[2409:8087:74d8:21::18]/270000001128/9900000109/index.m3u8?
军事评论,http://[2409:8087:74d8:21::18]/270000001128/9900000110/index.m3u8?
农业致富,http://[2409:8087:74d8:21::18]/270000001128/9900000111/index.m3u8?
金牌综艺,http://[2409:8087:74d8:21::18]/270000001128/9900000112/index.m3u8?
惊悚悬疑,http://[2409:8087:74d8:21::18]/270000001128/9900000113/index.m3u8?
风味人间,http://[2409:8087:74d8:21::18]/270000001128/9900000115/index.m3u8?
明星大片,http://[2409:8087:74d8:21::18]/270000001128/9900000116/index.m3u8?
睛彩篮球,http://[2409:8087:74d8:21::18]/270000001128/9900000118/index.m3u8?
睛彩竞技,http://[2409:8087:74d8:21::18]/270000001128/9900000119/index.m3u8?
睛彩青少,http://[2409:8087:74d8:21::18]/270000001128/9900000120/index.m3u8?
睛彩广场舞,http://[2409:8087:74d8:21::18]/270000001128/9900000532/index.m3u8?
哒啵电竞,http://[2409:8087:74d8:21::18]/270000001128/9900000121/index.m3u8?
精品萌宠,http://[2409:8087:74d8:21::18]/270000001128/9900000122/index.m3u8?
炫舞未来,http://[2409:8087:74d8:21::18]/270000001128/9900000098/index.m3u8?
潮妈辣婆,http://[2409:8087:74d8:21::18]/270000001128/9900000099/index.m3u8?
中国功夫,http://[2409:8087:74d8:21::18]/270000001128/9900000101/index.m3u8?
爱情喜剧,http://[2409:8087:74d8:21::18]/270000001128/9900000104/index.m3u8?
古装剧场,http://[2409:8087:74d8:21::18]/270000001128/9900000105/index.m3u8?
动作电影,http://[2409:8087:74d8:21::18]/270000001128/9900000106/index.m3u8?
军旅剧场,http://[2409:8087:74d8:21::18]/270000001128/9900000107/index.m3u8?



港澳台,#genre#
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
千禧經典台(HK),http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
viutv 99,http://aktv.top/AKTV/live/aktv2/viutv99/AKTV.m3u8
viutv6 96,http://aktv.top/AKTV/live/aktv2/viutv696/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
翡翠台4K,http://aktv.top/AKTV/live/aktv3/4k/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
日本全天新聞,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
DW,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8
France 24,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8
